owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
CelineSciot,2017-11,34,34,30,,,,,,,,,,,,,,,,,,,,,4,,CelineSciot,2017-11,4
penguian,2017-01,14,14,9,1,,,2,,,1,0,0,1,4,4,2,1,1,0,1,4,4,2,1,1,penguian,2017-01,1
rkoshevoy,2017-07,169,115,106,1,,,,,,1,0,0,1,63,163,8,1,0,0,1,63,163,8,,1,,,
buyunwang,2017-11,26,26,18,,,,,,,,,,,,,,,,,,,,,3,,buyunwang,2017-11,3
shentaosky,2017-09,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,shentaosky,2017-09,1
ii40-RMS,2017-01,47,39,39,,,,,,,6,0,0,12,182263,2822,28,6,0,0,12,182263,2822,28,,,,,
priyankshah3112,2017-07,3,2,2,,,,,,,1,0,0,1,2,1,1,1,0,0,1,2,1,1,1,1,priyankshah3112,2017-07,1
adriaferre,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,adriaferre,2017-03,2
GeoDASH,2017-02,50,1,1,,,,,,,1,0,0,49,4609,1319,46,1,0,0,49,4609,1319,46,,1,,,
owwwlab,2017-01,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,owwwlab,2017-01,1
dtonlai,2017-05,34,34,34,,,,,,,,,,,,,,,,,,,,,4,,dtonlai,2017-05,4
iFrag,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,iFrag,2017-09,1
inazeem,2017-08,7,7,7,,,,,,,,,,,,,,,,,,,,,1,,inazeem,2017-08,1
tomgreenfield,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
eriknordlund,2017-08,34,34,32,,,,,,,,,,,,,,,,,,,,,,,,,
xiaottang2,2017-07,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
Deepomatic,2017-07,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,Deepomatic,2017-07,1
SangHwaLeeSoas,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
jaysheth2927,2017-04,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
yuzhangbit,2017-10,2,2,2,2,1,,,,,,,,,,,,,,,,,,,1,,yuzhangbit,2017-10,1
upmio,2017-09,80,80,57,,,,,1,,,,,,,,,1,0,0,22,172836,223,1107,1,,,,
D3v3sh5ingh,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,D3v3sh5ingh,2017-10,2
manojkumarhashworks,2017-10,8,8,7,,,,,,,,,,,,,,,,,,,,,2,,manojkumarhashworks,2017-10,2
Manasi23,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,Manasi23,2017-10,1
matthewhartman,2017-06,12,12,12,4,27,,6,,,4,0,0,40,156,124,20,4,4,6,44,162,124,20,,2,,,
flyingcircusio,2017-06,865,130,90,,3,1,7,,,13,0,0,19,2021,165,51,14,4,3,27,2337,208,61,1,,flyingcircusio,2017-06,1
KarkiKabir,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,KarkiKabir,2017-11,1
