"","acq_firmyr_patent_count","acq_firmyr_fcitations10_total","acq_firmyr_complexity_mean","acq_firmyr_originality_mean","success","fyear","after","acq_emp","acq_xrd","acq_at","acq_ch","acq_ni","acq_leverage1","acq_sic","tar_emp","tar_xrd","tar_at","tar_ch","tar_leverage1","tar_firmyr_patent_count","tar_firmyr_fcitations10_total","tar_firmyr_generality_mean","tar_firmyr_originality_mean"
"3717",4,198,5.568567,0.7297316,1,1994,0,2.226,76.328,381.497,24.092,37.756,0.0179032,3559,0.168,1.991,5.275,1.244,0.0218009,9,514,0.558212,0.5139434
"3718",31,838,6.019036,0.8011214,1,1995,0,3.6,127.84,682.649,43.675,89.211,0.0110921,3559,0.186,6.828,15.767,1.767,0.0176952,2,44,0.545777,0.9
"3719",67,1544,5.906512,0.7226838,1,1996,0,4.5,173.013,969.365,62.879,141.091,0.0390936,3559,0.323,13.886,62.132,24.217,0.0045548,15,452,0.6645933,0.8146083
"3720",67,1550,5.881336,0.6872819,1,1997,0,4.8,170.624,965.449,125.725,-33.634,0.0578394,3559,NA,NA,69.6,NA,0.0041092,NA,NA,NA,NA
"3721",NA,NA,NA,NA,1,1994,0,NA,17.616,66.843,6.83,4.692,0.0077645,7373,0.239,3.17,28.59,3.288,0.0090591,NA,NA,NA,NA
"3722",NA,NA,NA,NA,1,1995,0,1.106,19.529,128.411,33.262,16.365,0.0015809,7373,0.314,4.357,40.977,4.387,0.0057837,NA,NA,NA,NA
"3723",NA,NA,NA,NA,1,1996,0,1.248,23.974,158.575,12.327,14.882,0.0012612,7373,0.367,7.131,43.747,0,0.0023316,NA,NA,NA,NA
"3724",NA,NA,NA,NA,1,1992,0,23.124,32.337,2006.959,12.846,-2.327,0.0385947,2761,0.386,NA,53.63,1.666,0.0977811,NA,NA,NA,NA
"3725",NA,NA,NA,NA,1,1993,0,22.014,31.345,1974.032,7.807,-77.606,0.016868,2761,0.418,0,60.884,2.076,0.0275113,NA,NA,NA,NA
"3726",NA,NA,NA,NA,1,1994,0,19.89,28.38,2031.336,20.384,121.4,0.0159146,2761,0.518,0,74.177,2.14,0.0239158,NA,NA,NA,NA
"3727",NA,NA,NA,NA,1,1995,0,18.771,27.94,2235.638,NA,267.501,0.0137106,2761,0.813,0,103.777,0.311,0,NA,NA,NA,NA
"3728",NA,NA,NA,NA,1,1996,0,18.849,25.426,2224.04,NA,149.923,0.0180262,2761,0.934,0,136.402,0.789,0,NA,NA,NA,NA
"3729",NA,NA,NA,NA,1,1992,0,0.674,NA,576.714,15.53,27.146,0.002242,1311,0.382,NA,1676.523,157.197,0.0265758,NA,NA,NA,NA
"3730",NA,NA,NA,NA,1,1993,0,0.771,NA,1016.854,8.367,48.503,0.0039199,1311,0.383,NA,1533.382,138.709,0.0441227,NA,NA,NA,NA
"3731",NA,NA,NA,NA,1,1994,0,1.004,NA,1604.904,24.207,-14.619,0.002045,1311,0.399,NA,1483.959,143.422,0.0205781,NA,NA,NA,NA
"3732",NA,NA,NA,NA,1,1995,0,0.76,NA,1319.229,19.94,-99.769,0.0019769,1311,0.385,NA,1464.696,149.143,0.0692383,NA,NA,NA,NA
"3733",NA,NA,NA,NA,1,1996,0,0.659,NA,1199.865,18.711,140.248,0.0044847,1311,0.321,NA,1213.879,16.681,0.0043703,NA,NA,NA,NA
"3734",NA,NA,NA,NA,0,1992,0,6.031,NA,5039.34,17.032,221.782,0.0022235,4911,4.165,NA,3875.944,37.782,0.011882,NA,NA,NA,NA
"3735",NA,NA,NA,NA,0,1993,0,6.07,NA,5949.168,2.417,232.854,0.0263291,4911,4.605,NA,4574.039,32.234,0.017929,NA,NA,NA,NA
"3736",NA,NA,NA,NA,0,1994,0,6.073,NA,6362.223,2.765,283.293,0.0243339,4911,NA,NA,4427.004,50.058,0.0330022,NA,NA,NA,NA
"3737",NA,NA,NA,NA,0,1995,0,5.976,NA,6447.313,3.867,254.907,0.0378441,4911,3.875,NA,4458.84,24.767,0.02388,NA,NA,NA,NA
"3738",NA,NA,NA,NA,0,1996,0,5.42,NA,6618.508,19.242,219.327,0.0276996,4911,3.81,NA,4638.988,410.978,0.0158612,NA,NA,NA,NA
"3739",NA,NA,NA,NA,0,1997,0,5.006,NA,6654.091,26.374,290.576,0.0588812,4911,3.465,NA,4694.402,356.412,0.0208427,NA,NA,NA,NA
"3740",NA,NA,NA,NA,0,1998,1,4.855,NA,6747.793,17.559,-3.167,0.0383588,4911,3.986,NA,5247.563,108.79,0.0200754,NA,NA,NA,NA
"3741",NA,NA,NA,NA,0,1999,1,4.923,NA,6852.441,65.984,269.384,0.1212457,4911,3.578,NA,5608.992,54.229,0.1447768,NA,NA,NA,NA
"3742",NA,NA,NA,NA,0,2000,1,5.6,NA,7697.017,18.021,241.669,0.1146435,4911,2.834,NA,3865.973,15.807,0.0238033,NA,NA,NA,NA
"3743",NA,NA,NA,NA,0,2001,1,5.6,NA,11167.55,37.98,422.812,0.1425363,4911,2.538,NA,3225.909,7.268,0.0469182,NA,NA,NA,NA
"3744",NA,NA,NA,NA,0,2002,1,5.4,NA,10600.28,204.231,-627.653,0.4765315,4911,1.87,NA,2811.3,93.9,0.0003557,NA,NA,NA,NA
"3745",NA,NA,NA,NA,1,1992,0,33.09,NA,5287.083,430.728,494.46,0.0034743,2731,4.5,20,335.835,48.469,0.0042074,NA,NA,NA,NA
"3746",NA,NA,NA,NA,1,1993,0,23.7,NA,5976.826,466.925,171.333,0.006224,2731,4.2,24,323.891,38.546,0.0018741,NA,NA,NA,NA
"3747",NA,NA,NA,NA,1,1994,0,15.43,NA,3242.364,819.659,177.532,0.0368648,2731,3.147,19,259.076,17.297,0.0247302,NA,NA,NA,NA
"3748",NA,NA,NA,NA,1,1995,0,15.219,NA,2884.336,363.75,165.883,0.0192363,2731,2,23,185.262,22.12,0.0665976,NA,NA,NA,NA
"3749",NA,NA,NA,NA,1,1996,0,20.89,NA,3326.238,532.862,190.851,0.0492199,2731,2.7,24,222.089,17.682,0.0371923,1,94,0.4425087,0.425
"3750",76,1158,5.334844,0.4907332,1,1992,0,106,510,58764,893,-885,0.1160404,3561,4.3,7.9,418.757,13.681,0.0582175,3,19,0.8428571,0.8253968
"3751",93,1061,5.358055,0.4936473,1,1993,0,98,460,70560,1136,913,0.0620607,3561,4.1,7.177,438.502,7.153,0.1105879,3,14,0.8444445,0.8917108
"3752",78,1199,5.405765,0.490307,1,1994,0,58.4,396,11035,322,1022,0.0840961,3561,4.2,10.564,457.241,7.374,0.0772109,3,28,0.7017543,0.574074
"3753",78,962,5.473942,0.4146731,1,1995,0,59,422,5879,94,708,0.1098826,3561,4.9,8.227,553.986,6.383,0.10762,2,13,0.6999999,0.8466667
