"sale","emp","RandD","lt","at","ch","ebit","ni","ppegt","xad","xopr","xrd"
2323.317,0.646,NA,162.02,202.12,27.262,2.222,1.452,75.419,NA,2315.53,NA
1721.929,0.634,NA,168.029,210.261,28.342,9.228,3.102,80.749,NA,1707.036,NA
2069.788,0.672,NA,189.279,238.854,19.942,13.965,8.608,88.681,NA,2049.251,NA
418.752,1.798,NA,1938.089,2088.889,8.46,98.655,21.024,32.428,NA,312.906,NA
30.646,0.173,-0.4700036,14.609,19.21,0.048,0.905,0.331,16.304,NA,28.641,0.625
27.183,0.178,-0.8651224,10.985,15.857,0.097,1.206,0.271,16.779,NA,24.914,0.421
40.857,0.18,-0.9996724,15.699,22.931,3.234,3.06,2.36,17.346,NA,36.738,0.368
4644.187,14.696,6.464275,2596.068,5767.735,591.457,888.736,983.026,5461.801,148,3176.381,641.799
3891.754,14.415,6.478402,2092.187,5647.242,427.288,37.948,-60.581,6126.278,184,3230.939,650.93
2697.029,12.146,6.704554,3151.916,5619.181,428.748,-852.811,-1303.012,7039.663,199,2793.671,816.114
3519.168,14.3,6.747674,3938.395,7094.345,1185.804,-247.277,-274.49,10072.394,148,2770.782,852.075
5001.435,15.9,6.840091,3993.516,7844.21,918.377,227.265,91.156,11037.583,225,3549.918,934.574
22755,71.2,NA,30355,85893,720,5474,2534,41149,NA,14001,NA
21348,61.8,NA,34190,91901,1409,3962,1407,44962,NA,13265,NA
32202,74.7,NA,47994,26536,2820,742,-9173,21315,516,28169,NA
27315,56.6,NA,17745,27367,6178,908,22211,11758,621,23760,NA
20658,40.4,NA,12830,17060,4449,209,-4002,6771,152,18525,NA
3.637,0.042,NA,24.108,11.639,0.177,-1.13,-2.68,1.583,NA,4.599,0
2.711,0.027,NA,26.469,11.284,0.276,-1.104,-2.716,1.926,NA,3.604,0
2.806,NA,NA,26.806,8.96,0.148,-1.071,-2.537,1.878,NA,3.711,0
3.691,0.032,NA,27.423,8.507,0.053,-0.521,-1.126,1.903,NA,4.068,0
4.119,0.03,NA,28.037,7.533,0.032,-0.313,-0.955,1.766,NA,4.288,0
877.977,7.091,4.2382,337.674,730.33,100.269,180.035,88.503,301.249,NA,648.915,69.283
499.403,5.955,4.261355,295.927,673.864,95.754,21.586,5.428,352.777,NA,439.754,70.906
543.964,6.554,4.528483,305.376,685.552,74.434,-6.293,-31.31,379.996,NA,508.222,92.618
732.979,7.433,4.600991,466.24,846.898,195.073,26.045,-36.934,398.575,NA,663.581,99.583
1021.097,8.26,4.74408,644.639,1115.306,295.96,119.732,32.544,460.124,NA,851.683,114.902
24.672,0.255,-0.2484614,8.342,21.473,1.077,1.1,0.456,9.65,NA,23.029,0.78
27.424,0.264,0.0217615,8.048,22.219,1.705,2.129,1.04,10.329,NA,24.692,1.022
25.672,0.269,-0.2943711,8.296,17.269,0.26,1.113,1.006,10.837,NA,23.921,0.745
31.113,0.269,-1.789761,9.47,18.985,1.276,2.011,0.542,11.012,NA,28.419,0.167
30.721,0.286,-0.2770719,7.979,18.463,0.84,0.071,1.541,11.415,NA,29.996,0.758
26818.9,40.7,NA,37318.6,47445.7,1943.8,661.9,127.1,990,NA,26157,NA
25170.6,35.7,NA,33364.8,43255.1,1398.2,-63.6,-279.6,1027,NA,24636.6,NA
19878.7,28,NA,33067.5,40047.5,1802.9,825.3,-2522.5,944.8,NA,18751.9,NA
17976.4,27.6,NA,33026.2,40950.2,1433.4,1659.9,933.8,867.5,NA,16116.9,NA
19904.1,26.7,NA,33052.3,42133.7,1396,2048.6,2245.1,833.6,NA,17673.3,NA
0.607,0.075,NA,6.982,39.066,NA,-45.144,-47.283,0.975,NA,44.644,NA
