appyear,classId,patent,nonutility,n_claims,n_bcites,n_fcites,n_nplcites,complexity,originality,generality
2000,606,"6159231",0,14,2,6,0,5.512672,0,.1420119
2000,264,"6159406",0,19,2,8,1,6.900232,0,.4266667
2000,424,"6159456",0,25,0,0,0,5.710981,,
2000,426,"6159521",0,19,16,5,0,5.440711,.1326531,.3199999
2000,427,"6159536",0,33,12,0,0,6.13759,.4027778,.694674
2000,430,"6159668",0,33,5,2,0,6.776511,.3199999,.4628099
2000,430,"6159669",0,8,14,0,7,6.258368,0,.1975309
2000,435,"6159697",0,10,1,4,14,6.405372,0,.5
2000,435,"6159734",0,13,3,6,30,6.309834,.4444444,.2659279
2000,438,"6159835",0,2,6,13,0,7.109872,0,.2609777
2000,438,"6159866",0,4,13,11,12,6.460258,.3786982,.3067034
2000,510,"6159925",0,7,32,8,0,6.375045,.3035713,.3727631
2000,514,"6159998",0,13,21,5,0,6.326461,.4444444,.1652892
2000,521,"6160029",0,19,44,26,11,5.658083,.3353057,.2446289
2000,523,"6160036",0,13,8,16,2,5.518605,.375,.5
2000,525,"6160057",0,7,13,1,7,6.747748,.1975309,0
2000,530,"6160097",0,12,2,0,8,6.08226,.5,0
2000,534,"6160101",0,14,0,2,2,5.802898,0,0
2000,558,"6160153",0,2,15,0,18,5.768192,.3911111,.5612245
2000,562,"6160168",0,2,5,0,2,4.859372,0,0
2000,257,"6160308",0,5,12,6,0,6.643971,0,.1768708
2000,257,"6160315",0,24,10,25,4,6.537151,0,.1625708
2000,327,"6160431",0,11,19,10,0,6.289476,.099723,.1107266
2000,356,"6160623",0,13,1,2,0,5.828922,0,.3918474
2000,363,"6160721",0,20,4,5,0,5.657217,.625,.5711451
2000,365,"6160740",0,3,6,7,0,5.268733,0,.375
2000,365,"6160745",0,19,2,9,0,5.431624,.5,.375
2000,365,"6160748",0,10,2,1,0,5.656085,0,.1326531
2000,365,"6160750",0,19,4,5,0,4.272525,0,.1383745
2000,365,"6160753",0,21,5,9,1,4.700943,.48,0
2000,4,"6161230",0,12,22,17,0,5.824611,0,0
2000,62,"6161395",0,16,15,1,0,5.349844,.6755556,.5511111
2000,73,"6161418",0,2,6,1,0,2.920213,.3199999,.6222222
2000,172,"6161626",0,7,14,1,0,5.599049,0,0
2000,228,"6161748",0,5,22,2,0,5.564954,.5495868,.5413224
2000,283,"6161869",0,17,17,5,0,5.852047,.2145329,.6030821
2000,347,"6161920",0,21,11,9,0,5.159201,.3140496,0
2000,347,"6161927",0,26,12,15,0,5.177122,.2916667,.34
2000,477,"6162147",0,2,6,3,0,4.817824,.2777778,.2479339
2000,494,"6162162",0,2,20,0,1,5.288251,.46875,.0688775
2000,204,"6162332",0,28,14,7,0,6.451665,.3367348,.3203125
2000,205,"6162345",0,12,22,3,2,6.448757,.6920415,.252551
2000,427,"6162494",0,16,12,0,0,6.1712,.4027778,.4921875
2000,430,"6162568",0,16,5,2,0,4.799143,0,.3144531
2000,430,"6162594",0,7,3,0,0,6.369738,.6666666,.5289257
2000,438,"6162709",0,7,28,63,5,5.826974,.6122449,.3966942
2000,514,"6162817",0,10,6,1,8,5.74518,.2777778,.099723
2000,514,"6162830",0,31,1,21,0,6.189388,0,.3490304
2000,548,"6162928",0,8,2,0,0,5.651497,0,0
2000,558,"6162939",0,9,3,0,0,5.993087,0,.4444444
2000,257,"6163063",0,5,7,0,0,5.737914,.244898,0
2000,318,"6163120",0,47,13,10,0,4.630687,0,.1124567
2000,323,"6163140",0,16,12,2,2,5.477101,0,.099723
2000,323,"6163143",0,2,3,45,0,5.631165,0,0
2000,330,"6163211",0,11,4,5,1,5.633583,0,.4444444
2000,332,"6163232",0,17,2,2,0,5.232582,0,.48
2000,335,"6163239",0,1,5,4,0,5.57306,.5599999,.5443786
2000,349,"6163352",0,6,31,18,3,5.40802,.4370447,.6074219
2000,365,"6163473",0,26,4,11,0,4.084032,0,.0302958
2000,365,"6163501",0,21,5,7,1,5.369076,0,0
2000,365,"6163502",0,12,2,2,0,4.987046,0,.5
2000,369,"6163519",0,4,9,12,2,6.634113,.1975309,.4787648
2000,399,"6163675",0,4,2,2,0,5.564028,.5,.4489796
2000,34,"6163979",0,8,6,6,0,5.350105,0,.4444444
2000,123,"6164254",0,7,3,1,1,4.055209,0,.1652892
2000,134,"6164299",0,8,8,2,5,4.921438,.625,.7638889
2000,137,"6164335",0,3,5,8,0,5.259784,.48,.532872
2000,248,"6164614",0,18,10,6,0,5.165383,.5925926,.5714285
2000,134,"6165278",0,4,1,0,0,6.1713,0,.59375
2000,156,"6165314",0,65,12,1,0,5.659324,.4861112,.65625
2000,427,"6165564",0,20,0,5,0,7.357154,.5503826,.3199999
2000,430,"6165702",0,10,21,2,0,5.981949,.1652892,0
2000,435,"6165791",0,18,0,1,18,6.570651,.244898,0
2000,438,"6165852",0,17,0,2,0,6.603122,0,0
2000,438,"6165877",0,3,3,0,0,7.41342,0,.1551279
2000,438,"6165908",0,6,2,1,2,6.233819,0,.6275511
2000,510,"6165958",0,7,3,1,0,6.09654,0,0
2000,510,"6165973",0,23,8,5,0,7.112984,0,0
2000,514,"6166025",0,22,0,5,4,7.104751,.244898,.3199999
2000,514,"6166053",0,2,1,1,0,7.281432,0,.21875
2000,536,"6166196",0,11,1,0,3,7.102711,0,.1652892
2000,546,"6166211",0,12,0,2,2,5.114586,0,0
2000,564,"6166256",0,7,2,0,6,6.098171,0,0
2000,564,"6166259",0,13,3,0,2,5.93495,0,.260355
2000,219,"6166359",0,7,4,4,0,5.858786,0,0
2000,257,"6166420",0,12,8,0,5,6.256621,.21875,.5549999
2000,310,"6166469",0,2,22,15,7,4.706154,.1326531,0
2000,320,"6166520",0,8,3,2,0,5.254141,0,.5714285
2000,320,"6166521",0,6,3,9,0,5.844095,0,0
2000,320,"6166523",0,18,10,3,0,5.302404,.3199999,.2850765
2000,320,"6166524",0,29,5,7,0,5.437693,.5599999,.3808
2000,323,"6166527",0,80,2,61,0,5.340009,0,.0665874
2000,324,"6166547",0,3,4,0,0,6.01804,.375,.2112
2000,326,"6166559",0,29,56,37,11,4.685608,.4561043,.3966942
2000,340,"6166659",0,11,9,5,0,6.79045,.4444444,.5
2000,363,"6166926",0,10,7,3,0,4.447577,0,0
2000,365,"6166940",0,4,3,0,0,5.51772,0,.4461247
2000,365,"6166942",0,42,28,34,0,4.84408,.1371742,.5622998
2000,365,"6166946",0,19,5,5,0,5.163925,0,.1723356
2000,365,"6166959",0,4,9,17,0,5.162793,0,.0543982
2000,365,"6166966",0,10,6,0,0,4.371014,.2777778,0
2000,365,"6166981",0,22,3,14,0,4.526068,0,.4897959
2000,365,"6166992",0,3,16,1,0,5.763819,.4977778,.3966942
2000,372,"6167074",0,12,8,6,3,4.605633,0,.4101239
2000,373,"6167076",0,13,8,2,8,5.03924,0,0
2000,375,"6167089",0,8,70,6,17,11.29675,.4897959,.2118295
2000,392,"6167195",0,51,29,6,0,6.000215,.5255102,.2987755
2000,455,"6167270",0,4,3,35,0,6.128911,0,.0081548
2000,708,"6167420",0,9,8,3,5,5.690406,0,.1587901
2000,99,"6167798",0,21,53,2,3,5.697976,.5674931,.5454546
2000,165,"6167949",0,11,20,6,0,6.911175,.4913495,0
2000,165,"6167954",0,8,12,1,0,5.788847,0,.3199999
2000,187,"6167991",0,20,12,6,0,5.60625,.375,.4763313
2000,229,"6168075",0,29,18,0,0,5.366102,.4999999,.6031746
2000,347,"6168267",0,11,9,22,0,5.177122,.1975309,0
2000,210,"6168718",0,1,41,12,0,5.895383,.375,.4453125
2000,435,"6168941",0,20,7,0,10,6.308377,.4081632,.671875
2000,438,"6168974",0,18,2,69,0,5.333982,.5,.3136508
2000,438,"6168993",0,21,3,8,0,6.431959,0,.3114804
2000,438,"6169015",0,12,3,3,0,5.962349,0,.1975309
